Year,Institute,EEP80,EEP50,EEP20,Opportunity_Width,Beta0,Beta1,Pseudo_R2,GLM_Converged,N_Obs_Fit,Model_Note
2022,NIAID,11.18,16.4,21.61,10.43,4.3581,-0.2658,0.8495,True,50,
2022,NIAMS,12.15,15.55,18.96,6.81,6.3311,-0.407,0.865,True,50,
2022,NICHD,10.71,15.25,19.79,9.08,4.6569,-0.3053,0.8723,True,50,
2022,NIDA,11.5,16.42,21.34,9.84,4.6283,-0.2818,0.8207,True,50,
2022,NIDCD,16.31,20.54,24.77,8.46,6.7307,-0.3276,0.8194,True,50,
2022,NIDCR,16.25,23.01,29.77,13.52,4.7194,-0.2051,0.6738,True,49,
2022,NIDDK,15.51,20.93,26.36,10.85,5.3509,-0.2556,0.8417,True,50,
2022,NIGMS,16.11,25.27,34.43,18.32,3.8242,-0.1513,0.7369,True,50,
2022,NIMH,13.94,19.13,24.33,10.39,5.1101,-0.2671,0.8605,True,50,
2022,NIMHD,11.15,18.54,25.92,14.77,3.4803,-0.1877,0.6936,True,49,
2022,NINDS,12.57,18.27,23.97,11.4,4.4431,-0.2432,0.8756,True,50,
2022,NINR,10.99,13.66,16.33,5.34,7.09,-0.5192,0.8106,True,38,
2022,NLM,11.94,14.24,16.54,4.6,8.5882,-0.603,0.8453,True,35,
2023,ALL NIH,12.84,19.12,25.4,12.56,4.2229,-0.2209,0.9613,True,50,
2023,NCI,11.87,14.35,16.83,4.96,8.0267,-0.5592,0.9436,True,50,
2023,NEI,18.8,24.93,31.06,12.26,5.6399,-0.2262,0.8029,True,50,
2023,NHGRI,10.15,15.01,19.87,9.72,4.2836,-0.2854,0.7448,True,40,
2023,NHLBI,13.81,19.04,24.26,10.45,5.0495,-0.2653,0.8683,True,50,
2023,NIA,20.31,26.68,33.05,12.74,5.8048,-0.2176,0.8468,True,50,
2023,NIAAA,16.97,25.46,33.94,16.97,4.1591,-0.1634,0.5582,True,49,
2023,NIAID,11.57,17.52,23.47,11.9,4.0815,-0.233,0.8484,True,50,
2023,NIAMS,10.52,13.91,17.3,6.78,5.693,-0.4093,0.872,True,50,
2023,NICHD,9.2,16.49,23.78,14.58,3.1351,-0.1902,0.7648,True,50,
2023,NIDA,8.26,15.5,22.74,14.48,2.9673,-0.1914,0.7059,True,50,
2023,NIDCD,15.6,25.33,35.07,19.47,3.6075,-0.1424,0.5868,True,48,
2023,NIDCR,14.45,20.88,27.31,12.86,4.5018,-0.2156,0.6531,True,48,
2023,NIDDK,15.99,20.95,25.9,9.91,5.8614,-0.2798,0.8713,True,50,
2023,NIGMS,13.87,22.7,31.52,17.65,3.5651,-0.1571,0.736,True,50,
2023,NIMH,15.54,21.0,26.46,10.92,5.3304,-0.2538,0.8214,True,50,
2023,NIMHD,13.58,21.1,28.62,15.04,3.8913,-0.1844,0.6712,True,49,
2023,NINDS,14.87,19.25,23.64,8.77,6.0865,-0.3161,0.8977,True,50,
2023,NINR,14.87,21.03,27.19,12.32,4.7326,-0.225,0.6488,True,31,
2023,NLM,17.78,22.73,27.67,9.89,6.3743,-0.2805,0.7208,True,34,
2024,ALL NIH,10.98,16.76,22.55,11.57,4.0199,-0.2398,0.9591,True,50,
2024,NCI,9.79,12.77,15.75,5.96,5.938,-0.4652,0.9292,True,50,
2024,NEI,18.51,24.94,31.37,12.86,5.375,-0.2155,0.7151,True,50,
2024,NHGRI,7.69,13.0,18.31,10.62,3.3965,-0.2613,0.6648,True,38,
2024,NHLBI,12.22,18.3,24.38,12.16,4.1721,-0.228,0.82,True,50,
2024,NIA,17.26,21.33,25.41,8.15,7.2548,-0.3401,0.9051,True,50,
2024,NIAAA,14.71,22.05,29.38,14.67,4.1676,-0.189,0.6608,True,48,
2024,NIAID,9.46,15.81,22.15,12.69,3.4544,-0.2185,0.8504,True,50,
2024,NIAMS,10.11,13.99,17.86,7.75,5.0027,-0.3577,0.8555,True,50,
2024,NICHD,9.27,14.72,20.18,10.91,3.7415,-0.2541,0.7898,True,50,
2024,NIDA,9.96,15.91,21.87,11.91,3.7036,-0.2327,0.7725,True,50,
2024,NIDCD,15.02,21.09,27.16,12.14,4.8161,-0.2283,0.7483,True,50,
2024,NIDCR,7.94,18.01,28.07,20.13,2.4803,-0.1377,0.5553,True,48,
2024,NIDDK,13.26,18.11,22.96,9.7,5.1737,-0.2857,0.8812,True,50,
2024,NIGMS,8.69,14.35,20.0,11.31,3.5169,-0.2451,0.8225,True,50,
2024,NIMH,15.73,20.19,24.66,8.93,6.2711,-0.3106,0.8841,True,50,
2024,NIMHD,6.01,14.89,23.77,17.76,2.3253,-0.1561,0.5317,True,48,
2024,NINDS,10.43,14.11,17.8,7.37,5.3107,-0.3763,0.8967,True,50,
2024,NINR,14.56,20.97,27.37,12.81,4.5366,-0.2164,0.5261,True,29,
2024,NLM,19.11,22.72,26.32,7.21,8.743,-0.3849,0.803,True,33,
2025,ALL NIH,5.74,11.14,16.53,10.79,2.8625,-0.257,0.9595,True,50,
2025,NCI,5.31,7.88,10.45,5.14,4.2528,-0.5397,0.9387,True,50,
2025,NEI,10.22,16.38,22.55,12.33,3.6847,-0.2249,0.759,True,50,
