file,year,institute,status,rows,notes
NDB_Report_ID_302_exp_03062026(45).xlsx,2016,NHGRI,ok,35,
NDB_Report_ID_302_exp_03062026(46).xlsx,2015,NHGRI,ok,38,
NDB_Report_ID_302_exp_03062026(47).xlsx,2014,NHGRI,ok,39,
NDB_Report_ID_302_exp_03062026(48).xlsx,2014,NHLBI,ok,61,Dropped 1 row(s) with Percentile=0
NDB_Report_ID_302_exp_03062026(49).xlsx,2015,NHLBI,ok,59,
NDB_Report_ID_302_exp_03062026(5).xlsx,2020,ALL NIH,ok,62,
NDB_Report_ID_302_exp_03062026(50).xlsx,2016,NHLBI,ok,58,
NDB_Report_ID_302_exp_03062026(51).xlsx,2017,NHLBI,ok,58,
NDB_Report_ID_302_exp_03062026(52).xlsx,2018,NHLBI,ok,62,
NDB_Report_ID_302_exp_03062026(53).xlsx,2019,NHLBI,ok,58,
NDB_Report_ID_302_exp_03062026(54).xlsx,2020,NHLBI,ok,58,
NDB_Report_ID_302_exp_03062026(55).xlsx,2021,NHLBI,ok,58,
NDB_Report_ID_302_exp_03062026(56).xlsx,2022,NHLBI,ok,59,
NDB_Report_ID_302_exp_03062026(57).xlsx,2023,NHLBI,ok,58,
NDB_Report_ID_302_exp_03062026(58).xlsx,2024,NHLBI,ok,57,
NDB_Report_ID_302_exp_03062026(59).xlsx,2025,NHLBI,warning,58,Suppressed 'D' in R56 Awards: 58 rows → NaN
NDB_Report_ID_302_exp_03062026(6).xlsx,2019,ALL NIH,ok,63,
NDB_Report_ID_302_exp_03062026(60).xlsx,2025,NIA,warning,58,Suppressed 'D' in R56 Awards: 58 rows → NaN
NDB_Report_ID_302_exp_03062026(61).xlsx,2024,NIA,ok,57,
NDB_Report_ID_302_exp_03062026(62).xlsx,2023,NIA,ok,59,
NDB_Report_ID_302_exp_03062026(63).xlsx,2022,NIA,ok,60,
NDB_Report_ID_302_exp_03062026(64).xlsx,2021,NIA,ok,58,
NDB_Report_ID_302_exp_03062026(65).xlsx,2020,NIA,ok,58,
NDB_Report_ID_302_exp_03062026(66).xlsx,2019,NIA,ok,58,
NDB_Report_ID_302_exp_03062026(67).xlsx,2018,NIA,ok,57,
NDB_Report_ID_302_exp_03062026(68).xlsx,2017,NIA,ok,57,
NDB_Report_ID_302_exp_03062026(69).xlsx,2016,NIA,ok,59,
NDB_Report_ID_302_exp_03062026(7).xlsx,2018,ALL NIH,ok,67,
